ID;اسم الفرع / المنفذ;نوع المرفق;العنوان;رابط الاتجاهات;خط العرض (Latitude);خط الطول (Longitude)
AZ-UF-BR-0182;كارفور -مول مصر;منفذ بيع;مول مصر، مدينة السادس من أكتوبر - الجيزة;https://goo.gl/maps/mGpt23XTbsidEKgp9;29.971921700;31.017741500
AZ-UF-BR-0183;كارفور -ميراج مول;منفذ بيع;كارفور ماركت - ميراج مول - التجمع الاول;https://goo.gl/maps/c3VxYAYnWKCENm9h7;30.079610700;31.454571900
AZ-UF-BR-0184;كارفور -ميفيدا;منفذ بيع;شارع التسعين , كمبوند ميفيدا-التجمع الخامس;https://goo.gl/maps/wqik8ufv9WKBNHW1A;30.017771500;31.534421200
AZ-UF-BR-0185;كارفور – سيتي سنتر الماظة;منفذ بيع;طريق السويس، شيراتون المطار، مدينة نصر‬.;https://goo.gl/maps/w1ZJy375FvhWq5xH9;30.081589328;31.364747496
AZ-UF-BR-0186;كارفور الملتقي;منفذ بيع;الشهيد طيار محمود شاكر عبد المنعم، عزبة سعد، سيدي جابر.;https://goo.gl/maps/9WVrhFpTMaebfYFw5;31.218955200;29.944362200
AZ-UF-BR-0187;كارفور- الرحاب;منفذ بيع;افينيو مول - مجموعة 130 الرحاب 2, مدينة الرحاب;https://goo.gl/maps/YgT9F7Kymfu4hfDP9;30.057944800;31.509505000
AZ-UF-BR-0188;كارفور- الزيتون;منفذ بيع;العزيز بالله، الزيتون الشرقية، الزيتون;https://goo.gl/maps/g4cbyDvgDC7GZoZv7;30.099537000;31.314613000
AZ-UF-BR-0189;"كارفور- جولف سيتي""العبور""";منفذ بيع;طريق مصر اسماعيلية الصحراوى - جولف سيتى, مدينة العبور;https://goo.gl/maps/PiPkUTXfmA1uGitM6;30.174114700;31.476195200
AZ-UF-BR-0190;كارفور- داندي مول;منفذ بيع;طريق القاهرة - الإسكندرية الصحراوي، الجيزة.;https://goo.gl/maps/7F8JNqxsavTShnns7;30.063194100;31.027472000
AZ-UF-BR-0191;كارفور- سرايا مول;منفذ بيع;إمتداد شارع ولي العهد، حدائق القبة;https://goo.gl/maps/kMsrucabsiAM358w7;30.087671200;31.283871000
